car,move
J,-1
B,-1
I,-1
F,-1
F,1
A,1
F,-1
B,1
C,1
S,-1
D,1
H,-1
D,-1
A,-4
I,2
C,-1
C,1
D,1
A,3
F,1
A,-1
G,1
G,-1
A,2
G,1
G,-2
G,1
X,-1
F,-1
D,-1
S,2
X,1
F,1
X,-1
S,-1
J,1
S,-1
H,1
S,2
C,-1
G,1
N,1
H,-1
D,1
A,-1
A,1
G,-1
H,1
C,1
D,-1
S,-1
D,1
J,-1
S,-1
G,-1
C,-1
A,-2
C,1
N,-1
G,2
A,2
H,-1
J,1
J,-1
H,1
C,-1
E,1
G,-1
E,-1
C,1
A,-1
D,-1
E,1
C,-1
D,1
G,1
X,1
E,1
C,1
E,-1
A,-1
A,2
E,1
E,-2
J,1
H,-1
X,-1
D,-1
X,1
S,4
D,1
J,-1
C,1
F,-1
D,-1
A,-2
D,1
C,-1
F,1
S,1
F,-1
H,1
F,1
F,-1
D,-1
X,-1
H,-1
H,2
A,-3
G,1
N,1
S,-5
G,-1
S,6
S,-1
S,1
H,-1
N,-1
G,-1
D,1
G,1
N,1
S,-1
G,-1
G,1
D,-1
G,-1
D,1
N,-1
N,1
D,-1
D,1
N,-1
S,1
G,1
G,-1
H,1
S,-1
S,1
X,1
D,-1
I,-1
D,1
G,1
I,1
S,-2
X,-1
A,2
D,-1
H,-1
N,1
C,-1
S,-1
A,-1
S,-1
G,-1
H,-1
N,-1
H,1
A,3
F,1
A,1
D,1
A,-2
C,1
X,1
A,1
X,-1
G,-1
G,1
J,1
O,1
S,-2
S,1
X,1
I,-2
E,-1
G,1
O,-1
O,1
G,-1
O,-1
A,-1
J,-1
F,-1
B,-1
C,-1
A,-2
G,1
H,1
B,1
B,-1
G,1
S,2
G,-1
A,-1
E,1
A,4
F,1
H,-2
J,1
D,-1
C,2
C,-1
E,-1
E,1
B,-1
A,1
A,-1
A,1
D,1
S,-3
S,2
G,-1
H,1
A,-2
H,-1
O,1
O,-1
O,1
S,-1
S,-1
O,-1
S,1
O,1
S,-1
S,1
G,1
B,1
O,-1
A,1
E,-1
S,-1
B,1
D,-1
H,2
D,1
B,-1
H,-1
E,1
G,-1
I,1
C,-1
J,-1
F,-1
F,1
G,1
C,1
J,1
C,-1
S,4
J,-1
C,1
I,-1
B,1
F,-1
A,-1
S,-1
D,-1
B,-2
C,-1
H,1
C,1
G,1
D,3
M,-1
A,1
F,1
S,2
D,-1
M,1
A,-1
A,1
A,-1
S,-3
M,-2
F,-1
B,2
A,-1
E,-1
S,1
E,1
S,1
A,1
C,-1
A,-3
E,-1
B,-1
E,1
E,-1
E,1
S,-1
C,1
D,1
C,-1
I,1
A,4
S,1
S,-1
B,1
M,2
B,-1
K,-2
A,-3
I,-1
P,2
E,-1
K,1
K,-1
B,1
E,1
E,-1
A,1
K,1
M,-2
C,1
C,-1
A,2
A,-2
M,1
M,1
E,1
A,-2
P,-1
E,-1
S,-1
P,1
A,1
S,1
U,1
S,-2
P,-1
S,-1
T,1
P,1
C,1
K,-1
B,-1
R,1
K,1
M,-1
B,1
E,1
P,-1
C,-1
I,1
M,1
S,4
M,-2
C,1
S,-2
S,2
M,1
K,-1
A,2
A,-1
K,1
B,-1
M,1
C,-1
K,-1
M,-1
K,1
K,-1
C,1
S,-1
B,1
K,1
B,-1
I,-1
R,-1
A,2
B,1
C,-1
E,-1
R,1
F,1
E,2
A,-1
P,1
R,-1
I,1
P,-1
P,1
K,-1
E,-1
I,1
F,-1
T,-1
K,1
X,-1
N,1
N,-1
X,1
C,1
A,-1
M,-1
S,2
A,1
I,-2
E,-1
A,-2
S,-3
B,-1
C,-1
U,-1
A,3
F,1
J,1
J,-1
F,-1
A,-2
A,2
C,1
M,1
S,1
C,-1
M,1
B,1
S,1
S,-2
U,1
B,-1
T,1
M,-2
P,-1
A,-2
B,1
P,1
B,-1
R,1
C,1
S,3
S,-2
P,-1
C,-1
C,1
R,-1
E,1
T,-1
C,-1
C,1
A,-2
S,3
A,-1
F,1
B,-1
U,-1
P,1
E,2
B,1
S,-1
U,1
T,1
I,1
S,1
E,-2
R,1
S,-3
I,-1
J,1
S,3
K,-1
E,-1
E,1
E,-1
R,-1
J,-1
F,-1
R,1
R,-1
T,-1
S,-2
M,2
T,1
C,-1
A,2
B,1
R,1
B,-1
P,-1
B,1
B,-1
E,1
I,1
S,-1
S,1
R,-1
M,-2
S,-1
C,1
A,-1
P,1
M,2
A,4
K,1
K,-1
A,-1
S,1
M,-1
M,-1
I,-1
R,1
A,-4
I,1
P,-1
I,-1
C,-1
A,2
P,1
R,-1
I,1
C,1
T,-1
S,-1
C,-1
P,-1
B,1
B,-1
P,1
I,-1
E,-1
P,-1
K,1
A,3
E,1
B,-1
K,-1
C,1
P,1
P,-1
C,-1
M,1
T,1
C,1
B,2
E,-1
S,2
F,1
K,1
T,-1
E,3
S,1
K,-1
B,-1
K,1
I,1
T,1
P,1
B,1
R,1
M,1
K,-1
M,-1
P,-1
B,-1
K,1
I,-1
E,-1
I,1
R,-1
P,1
E,-1
F,-1
P,-1
M,1
P,1
I,-1
F,1
R,1
I,1
K,-1
S,-2
C,-1
R,-1
R,1
F,-1
F,1
S,-1
B,1
J,1
A,-1
R,-1
S,1
B,-1
S,-1
P,-1
P,1
J,-1
K,1
J,1
P,-1
C,1
M,-2
I,-1
E,-1
R,1
B,1
J,-1
C,-1
F,-1
R,-1
A,-3
K,-1
A,4
C,1
R,1
B,-1
C,-1
K,1
R,-1
R,1
P,1
R,-1
M,1
A,-2
E,1
B,1
M,-1
E,-1
B,-1
M,1
M,1
B,1
A,2
S,-4
K,-1
B,-1
K,1
A,-1
A,-3
A,3
K,-1
S,1
F,1
B,1
P,-1
C,1
C,-1
M,-1
P,1
F,-1
C,1
E,1
T,-1
K,1
I,2
I,-2
A,-3
U,-1
E,-1
K,-1
U,1
T,1
S,-1
B,-1
M,-1
B,1
E,1
K,1
E,-1
E,1
K,-1
K,1
P,-1
B,-1
B,1
E,-1
P,1
P,-1
E,1
I,2
A,2
M,1
S,6
A,-1
T,-1
K,-1
S,-1
A,1
A,2
S,1
K,1
A,-4
M,-1
K,-1
A,4
T,1
S,-1
A,-2
I,-1
K,1
A,-2
C,-1
B,-1
A,3
S,-1
C,1
M,2
C,-1
A,-4
I,-1
E,-1
A,2
T,-1
K,-1
S,1
B,1
U,-1
M,-2
A,1
P,-1
M,1
E,1
E,-1
C,1
S,-1
C,-1
M,1
P,1
B,-1
A,-2
M,-2
A,4
P,1
A,-4
P,-2
S,1
S,-1
P,1
C,1
C,-1
U,1
C,1
C,-1
E,1
A,3
P,1
K,1
I,1
T,1
B,1
T,-1
P,-1
I,-1
M,2
S,-2
P,1
A,-2
E,-1
U,-1
M,-1
B,-1
P,-1
S,2
E,1
U,1
T,1
C,1
K,-1
K,1
A,1
B,-1
B,1
P,1
P,-1
T,-1
P,1
E,-1
S,-3
M,1
M,-1
C,-1
C,1
K,-1
T,1
C,-1
A,2
R,1
E,1
B,1
P,-1
I,1
F,1
M,1
P,1
F,-1
A,-3
K,1
C,1
K,-1
B,-1
B,1
M,-1
B,-1
P,-1
K,1
A,3
I,-1
E,-1
F,1
K,-1
C,-1
F,-1
C,1
E,1
P,1
I,1
K,1
M,1
M,-1
M,1
M,-1
R,-1
A,-2
S,3
S,-4
P,-1
M,1
P,1
A,2
M,-1
K,-1
F,1
K,1
P,-1
J,1
B,1
B,-1
K,-1
O,1
A,-1
A,1
K,1
S,6
A,-1
O,-1
K,-2
R,1
P,1
K,2
M,1
K,-2
M,-2
A,1
I,-1
S,-1
S,2
S,-1
B,1
B,-2
K,2
R,-1
S,1
J,-1
T,-1
J,1
P,-1
O,1
T,1
R,1
R,-1
S,-1
K,-1
R,1
B,1
O,-1
B,1
I,1
B,-1
M,2
P,1
M,-2
R,-1
A,-1
R,1
J,-1
A,1
P,-1
K,1
P,1
K,-1
R,-1
E,1
P,-1
S,1
R,1
P,1
R,-1
I,-1
I,1
K,1
S,-4
C,-1
I,-1
I,1
C,1
T,-1
B,1
T,1
E,-1
B,-1
I,-1
R,1
I,1
R,-1
T,-1
E,1
T,1
R,1
E,1
M,2
I,-1
A,-1
E,-2
M,-2
E,-1
R,-1
M,1
P,-1
M,-1
J,1
T,-1
E,1
P,1
T,1
S,1
T,-1
K,-2
P,-1
S,2
U,-1
I,1
S,-1
I,-1
S,-1
B,1
I,2
A,1
M,2
U,1
C,-1
A,-1
S,1
I,-1
U,-1
M,-2
A,1
K,1
O,1
A,-1
M,2
B,-1
U,1
I,-1
T,1
B,1
S,-1
E,-1
B,-1
S,1
T,-1
M,-1
O,-1
S,-1
C,1
M,1
S,1
S,1
K,1
U,-1
S,-2
P,-1
J,-1
A,1
A,-1
A,1
J,1
J,-1
B,1
S,-3
C,-1
C,1
F,-1
C,-1
M,-1
A,-2
M,1
S,1
P,2
P,-2
M,-1
C,1
S,1
K,1
C,-1
S,1
S,-3
K,-2
C,1
C,-1
K,2
A,-1
B,-1
D,-1
E,1
C,1
B,1
B,-1
I,1
A,2
A,-4
C,-1
C,1
D,1
S,1
M,1
I,-1
S,-1
I,1
M,-1
K,-1
M,1
S,1
F,1
F,-1
K,1
S,3
A,2
K,-2
M,-1
P,2
S,-1
I,-1
U,1
U,-1
A,1
S,2
U,1
P,-1
S,-1
K,1
M,1
K,-1
A,-1
I,1
U,-1
K,1
M,-2
K,-1
I,-1
P,1
M,1
B,-1
P,-2
B,2
I,1
B,-1
P,2
A,-1
U,1
P,-1
B,1
P,1
T,1
R,1
I,-1
S,-1
S,1
B,-1
B,1
E,-1
P,-1
R,-1
B,-1
E,1
K,1
I,1
S,-2
T,-1
P,1
M,-1
S,1
K,-1
B,1
P,-1
K,1
I,1
C,-1
T,1
P,1
A,1
S,1
R,1
S,-2
A,-1
X,-1
N,1
R,-1
M,2
P,-1
R,1
C,1
S,4
R,-1
R,1
S,-1
K,-1
S,-1
M,-2
P,1
S,-1
C,-1
R,-1
N,-1
N,1
N,-1
X,1
M,1
M,-1
R,1
P,-1
C,1
I,-2
S,3
B,-2
S,-2
K,1
M,1
P,1
C,-1
M,1
S,-3
S,2
P,-1
C,1
B,1
K,-1
B,-1
S,1
B,1
C,-1
E,-1
K,1
C,1
K,-1
E,1
R,-1
A,4
B,1
R,1
K,1
K,-1
I,2
S,2
S,-3
X,-1
C,-1
C,1
A,-2
S,1
M,-1
R,-1
K,1
R,1
R,-1
N,1
S,-3
A,-2
N,-1
M,1
S,3
A,3
C,-1
S,-1
C,1
P,1
F,1
R,1
C,-1
P,-1
R,-1
A,1
X,1
P,1
K,-1
P,-1
K,1
P,1
P,-1
X,-1
F,-1
C,1
K,-1
F,1
A,-1
M,-1
K,1
N,1
F,-1
R,1
P,1
S,-3
M,1
F,1
J,1
O,1
A,1
M,-1
A,-1
K,-1
R,-1
P,-1
M,1
A,1
K,1
A,-1
N,-1
R,1
O,-1
S,1
O,1
C,-1
A,1
C,1
A,-1
R,-1
S,-1
S,-1
N,1
M,-1
C,-1
O,-1
J,-1
E,2
M,1
M,-2
E,-2
K,-1
F,-1
P,1
C,1
P,-1
K,1
A,-1
C,-1
A,2
P,1
C,1
P,-1
M,1
P,1
M,-1
N,-1
K,-1
N,1
C,-1
P,-1
N,-1
P,1
M,1
P,-1
X,1
S,1
R,1
P,1
C,1
C,-1
X,-1
M,1
M,-1
A,-2
K,1
N,1
S,4
C,1
C,-1
N,-1
R,-1
A,-2
P,-1
A,4
T,-1
F,1
N,1
A,-1
U,-1
N,-1
P,-1
S,-1
A,1
K,-1
J,1
A,-1
X,1
J,-1
I,-1
I,-1
K,1
A,1
M,-1
K,-1
S,1
F,-1
M,2
B,-1
I,1
C,1
P,1
U,1
T,1
K,1
I,-1
P,1
I,1
K,-1
A,-1
T,-1
C,-1
M,-1
S,-1
F,1
K,1
A,1
M,1
A,-1
J,1
K,-1
B,1
B,-1
S,1
A,1
B,1
O,1
O,-1
T,1
C,1
J,-1
F,-1
T,-1
M,-2
S,-1
B,-1
A,-5
A,2
A,2
T,1
T,-1
A,-3
C,-1
A,3
B,1
K,1
M,2
I,1
A,1
S,-2
I,-2
B,-1
M,-1
C,1
F,1
A,-1
S,4
F,-1
K,-1
U,-1
A,-4
F,1
P,-2
K,1
E,2
S,1
S,-1
B,-1
E,-1
B,1
I,1
S,-5
P,1
M,1
M,-1
K,-1
U,1
C,-1
C,1
K,1
C,-1
M,1
E,1
I,-1
E,-3
E,3
S,1
T,1
T,-1
M,-1
P,1
B,-1
M,1
E,-1
M,-1
E,1
S,-1
P,-1
T,1
P,1
B,1
K,-1
C,1
E,-1
I,1
I,-1
I,1
C,-1
T,-1
T,1
E,-1
C,1
I,-1
F,-1
P,-1
I,1
S,-1
M,1
F,1
C,-1
E,2
E,-1
I,-1
E,1
C,1
S,1
S,-1
S,1
S,-1
K,1
S,1
T,-1
I,1
M,-1
P,1
E,-1
M,1
T,1
C,-1
P,-1
T,-1
M,-1
I,-1
P,1
P,-1
K,-1
B,-1
E,1
T,1
E,-1
S,-1
M,-1
P,1
B,1
K,1
P,-1
I,1
I,-1
B,-1
E,1
P,1
B,1
B,-1
M,2
K,-1
M,-2
K,1
M,1
S,1
S,2
C,1
E,-2
P,-1
J,1
C,-1
B,1
I,1
C,1
S,-2
C,-1
T,-1
T,1
O,1
C,1
I,-1
I,1
S,6
T,-1
I,-1
M,-1
O,-1
B,-1
M,2
O,1
U,-1
O,-1
B,1
J,-1
P,1
B,-1
B,1
J,1
P,-2
I,1
J,-1
K,1
D,-3
E,3
J,1
D,1
D,-1
I,-1
J,-1
E,-3
J,1
D,1
J,-1
S,-3
S,-2
C,-1
J,1
D,2
M,-1
C,1
M,1
D,-3
G,-2
E,-1
J,-1
H,-2
S,1
S,-1
H,1
C,-1
H,1
C,1
D,1
D,-1
F,-1
H,-1
D,1
G,1
A,3
G,-1
G,1
A,-1
G,-1
D,-1
G,1
A,-2
H,-1
D,1
A,2
E,1
C,-1
G,-1
C,1
S,-1
G,1
I,1
C,1
D,-1
D,1
I,-1
I,1
B,1
C,-2
G,-1
I,-1
G,1
B,-1
H,2
C,1
A,2
I,1
H,-2
H,1
B,1
H,-1
B,-1
D,-1
F,1
H,1
H,-1
C,1
F,-1
D,1
S,2
G,-1
F,1
S,-2
A,2
B,1
G,-1
S,2
B,-1
C,-1
A,-2
I,-1
S,-1
E,-1
A,2
S,1
S,-1
B,1
H,1
E,1
A,-1
A,-1
I,2
H,1
X,-1
C,-1
S,1
N,1
C,1
C,-1
G,3
N,-1
E,2
E,1
X,1
S,-2
D,-1
A,1
X,-1
N,4
A,-1
D,1
N,-4
D,-1
N,1
F,-1
C,1
A,-1
C,-1
A,-1
C,1
S,1
C,-1
C,1
C,-1
A,-1
S,-1
A,1
A,2
S,1
D,1
S,-1
A,-1
A,-1
C,1
N,2
C,-1
N,-1
D,-1
D,1
A,-1
D,-1
L,1
C,1
N,1
N,-1
D,1
C,-1
A,4
L,-1
C,1
F,1
F,-1
D,-1
D,1
D,-1
D,1
A,-1
D,-1
C,-1
L,1
F,1
Q,2
F,-1
F,1
F,-1
N,2
Q,-1
S,1
D,1
S,1
N,-1
A,-1
Q,1
R,-1
N,-1
Q,-1
N,1
A,2
T,-1
T,1
Q,1
T,-1
S,-1
U,-1
F,1
F,-1
N,1
S,-1
C,1
S,2
N,-2
D,-1
A,-3
A,-1
C,-1
C,1
U,1
N,1
N,-1
S,-2
S,2
T,1
O,-1
S,-2
N,1
N,1
O,1
C,-1
Q,-1
S,2
A,1
C,1
Q,1
T,-1
C,-1
U,-1
Q,-1
S,-1
U,1
C,1
S,-1
D,1
T,1
X,1
Q,2
R,1
S,2
D,-1
Q,-1
S,-2
X,-1
S,1
X,1
D,1
R,-1
I,-1
C,-1
D,-1
I,1
C,1
I,-1
I,1
S,-1
Q,-1
C,-1
C,1
S,2
T,-1
X,-1
A,3
A,-2
N,1
N,-3
D,1
S,-2
Q,1
N,1
N,1
U,-1
N,1
A,2
X,1
C,-1
I,-1
A,-2
C,1
D,-1
D,1
N,-1
D,-1
D,1
Q,-1
U,1
A,-1
T,1
Q,1
R,1
C,-1
I,1
Q,-1
X,-1
R,-1
X,1
T,-1
I,-2
A,-1
C,1
T,1
S,1
C,-1
T,-1
D,-1
A,4
I,2
T,1
I,-1
N,1
N,-1
T,-1
T,1
D,1
C,1
O,-1
I,1
F,1
S,1
N,1
I,-2
I,2
A,-1
Q,1
D,-1
J,-1
E,-2
S,2
Q,-1
C,-1
X,3
G,-1
A,1
C,1
X,1
H,-2
E,-1
H,1
F,-1
Q,2
X,2
